evidence_1,evidence_2,evidence_3,evidence_4,evidence_5,evidence_6,evidence_7,evidence_8,evidence_9,evidence_10,evidence_11,evidence_12
5.67E-01,9.91E-01,9.95E-01,9.98E-01,9.99E-01,9.99E-01,9.97E-01,9.89E-01,9.57E-01,7.58E-01,1.39E-01,2.85E-03
7.65E-04,1.02E-03,5.40E-03,2.60E-02,1.10E-02,1.89E-03,1.94E-04,4.75E-05,2.19E-05,4.84E-06,3.71E-07,4.18E-08
5.36E-01,2.07E-01,2.90E-06,5.70E-11,3.05E-13,6.35E-15,3.49E-15,8.37E-15,1.46E-13,1.55E-12,1.10E-11,8.80E-11
9.99E-01,9.99E-01,9.90E-01,9.52E-01,7.73E-01,5.16E-01,4.48E-01,4.02E-01,4.34E-01,7.74E-01,9.85E-01,1.00E+00
6.47E-08,1.89E-07,8.51E-10,1.99E-13,8.25E-17,3.09E-19,7.03E-20,7.27E-19,1.42E-17,1.58E-16,9.43E-16,6.69E-15
3.52E-06,1.98E-01,9.86E-01,9.65E-01,3.68E-01,5.56E-03,3.48E-05,1.24E-08,2.99E-12,2.13E-15,1.28E-17,1.22E-18
1.69E-01,5.60E-01,9.31E-01,9.84E-01,9.81E-01,9.84E-01,9.83E-01,9.80E-01,9.71E-01,9.49E-01,8.16E-01,6.65E-01
3.81E-05,2.97E-04,2.22E-05,1.13E-08,4.24E-12,1.11E-14,1.86E-17,8.58E-20,2.94E-22,5.30E-25,1.22E-26,4.71E-28
1.36E-09,9.07E-06,2.35E-03,6.08E-02,4.76E-01,9.75E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
2.48E-01,8.33E-01,9.45E-01,9.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.44E-01,2.82E-01,3.09E-04,2.44E-07,6.20E-11,9.65E-15,3.40E-18,2.68E-21,1.41E-23,1.10E-25,3.26E-27,9.94E-29
8.94E-01,9.53E-01,8.69E-01,9.81E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
1.39E-01,7.49E-01,9.95E-01,5.54E-01,5.04E-02,6.90E-03,8.32E-04,4.59E-04,6.18E-04,9.46E-04,9.01E-04,1.23E-03
6.60E-01,3.20E-01,3.32E-01,3.34E-02,2.55E-04,1.21E-06,1.43E-08,7.42E-10,1.18E-10,7.88E-11,4.50E-11,1.43E-11
5.90E-05,2.23E-01,8.99E-01,9.55E-01,6.71E-01,1.02E-01,2.34E-03,7.36E-05,2.67E-05,1.85E-05,1.39E-05,3.45E-05
1.00E+00,1.00E+00,7.80E-01,1.50E-02,6.65E-07,3.42E-10,6.16E-13,2.15E-14,5.17E-14,8.82E-13,1.90E-11,7.04E-10
1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
2.13E-03,8.18E-02,6.47E-01,9.11E-01,8.77E-01,8.83E-01,7.58E-01,3.68E-01,1.47E-01,7.96E-02,3.55E-02,1.49E-02
2.46E-04,4.85E-02,7.77E-01,9.97E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.82E-01,6.36E-01,1.53E-01
1.00E+00,6.98E-01,4.07E-04,3.78E-10,5.37E-14,5.62E-17,6.84E-20,1.77E-22,1.53E-25,5.74E-28,9.74E-30,3.41E-31
9.55E-03,6.43E-02,2.99E-03,3.81E-05,3.22E-08,1.89E-10,1.60E-12,5.24E-14,8.46E-15,1.34E-15,1.53E-16,1.06E-17
9.93E-01,4.65E-01,1.45E-02,3.87E-05,1.03E-07,2.13E-09,1.12E-11,1.53E-14,1.79E-17,1.39E-19,3.55E-21,8.74E-23
4.62E-04,8.42E-03,1.71E-02,3.20E-03,2.31E-05,1.00E-07,1.24E-09,1.35E-12,1.07E-15,7.65E-19,3.81E-21,7.80E-22
7.44E-03,8.64E-03,2.02E-02,7.02E-02,8.89E-03,7.48E-04,1.64E-04,2.35E-04,1.76E-03,6.74E-03,3.22E-03,6.50E-04
1.00E+00,6.95E-01,1.89E-03,8.78E-09,9.79E-14,2.73E-18,4.08E-23,5.58E-27,2.00E-30,2.91E-33,6.12E-36,7.30E-38
1.00E+00,8.45E-01,1.40E-02,2.10E-06,1.77E-10,2.16E-14,3.85E-18,9.40E-21,8.12E-23,1.10E-23,3.00E-24,4.36E-25
4.47E-04,4.62E-03,4.02E-03,1.17E-04,5.75E-08,4.38E-12,2.32E-16,1.38E-20,5.33E-24,8.02E-27,1.05E-27,1.01E-27
9.79E-01,9.98E-01,9.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
5.00E-03,1.49E-03,6.11E-05,1.78E-07,2.54E-10,5.54E-13,1.65E-15,5.18E-18,1.01E-20,1.62E-23,4.56E-26,8.53E-29
2.84E-10,5.15E-08,5.19E-06,3.06E-04,8.33E-03,9.55E-02,2.51E-01,2.71E-01,4.83E-01,7.69E-01,9.36E-01,9.89E-01
6.89E-01,9.57E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
6.13E-04,2.53E-03,2.66E-03,1.02E-04,4.94E-07,5.63E-09,4.16E-10,3.55E-11,1.94E-11,5.30E-11,1.34E-10,2.04E-10
5.72E-02,8.35E-01,9.92E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
7.14E-01,3.57E-01,1.70E-02,6.22E-06,4.82E-09,5.36E-12,1.70E-14,3.16E-16,4.72E-17,1.10E-16,1.19E-15,1.07E-14
1.00E+00,9.55E-01,2.18E-01,1.69E-03,4.62E-06,8.54E-08,9.15E-10,1.76E-11,6.74E-12,5.65E-12,4.63E-11,2.75E-09
9.30E-01,8.41E-01,2.71E-01,3.50E-03,2.11E-05,1.69E-06,1.14E-06,2.97E-06,3.50E-05,8.77E-05,1.05E-05,7.86E-08
1.11E-03,1.37E-02,2.22E-03,2.96E-05,1.37E-08,3.46E-12,3.99E-15,9.48E-18,3.67E-20,6.40E-23,7.46E-26,6.70E-29
7.17E-02,1.19E-02,9.48E-03,2.20E-02,2.55E-01,9.49E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.99E-01,9.89E-01,3.52E-01,1.44E-03,2.87E-06,4.32E-08,1.41E-09,3.06E-11,1.80E-12,1.72E-13,1.07E-14,1.01E-16
9.92E-01,4.49E-01,2.95E-02,7.80E-02,1.06E-01,1.97E-02,3.20E-03,2.09E-04,4.46E-04,2.74E-04,3.63E-05,4.91E-06
